Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/1997,7950903.00,0.00,17.00,17000000
12/27/1997,7192612.00,0.00,14.00,14000000
12/24/1997,7694837.00,0.00,12.00,12000000
12/20/1997,8044227.00,0.00,10.00,10000000
12/17/1997,21397198.00,0.00,66.00,66000000
12/13/1997,16514796.00,0.00,58.00,58000000
12/10/1997,12212548.00,0.00,48.00,48000000
12/06/1997,12018444.00,0.00,41.00,41000000
12/03/1997,9472670.00,0.00,35.00,35000000
11/29/1997,8820896.00,0.00,30.00,30000000
11/26/1997,8094383.00,0.00,26.00,26000000
11/22/1997,8318146.00,0.00,22.00,22000000
11/19/1997,6676271.00,0.00,18.00,18000000
11/15/1997,7501534.00,0.00,16.00,16000000
11/12/1997,6216170.00,0.00,14.00,14000000
11/08/1997,7133163.00,0.00,12.00,12000000
11/05/1997,5829678.00,0.00,10.00,10000000
